,Order_Id,Customer_Name,Email,City,Order_Date,Total_Spend,Order_Day,Order_Month,Order_Year
0,5275,Customer_275,user_275@provider.com,New York,2024-08-02,968.56,2,8,2024
1,5093,Customer_93,user_93@provider.com,New York,2024-08-19,979.01,19,8,2024
2,5006,Customer_6,user_6@provider.com,New York,2024-01-08,638.38,8,1,2024
3,5167,Customer_167,user_167@provider.com,Chicago,2024-05-01,1139.36,1,5,2024
4,5090,Customer_90,user_90@provider.com,New York,2024-10-09,409.03,9,10,2024
5,5007,Customer_7,user_7@provider.com,Chicago,2024-10-28,983.02,28,10,2024
6,5362,Customer_362,user_362@provider.com,New York,2024-02-24,413.6,24,2,2024
7,5228,Customer_228,user_228@provider.com,New York,2024-05-11,423.25,11,5,2024
8,5192,Customer_192,user_192@provider.com,Los Angeles,2024-12-16,119.03,16,12,2024
9,5482,Customer_482,user_482@provider.com,Chicago,2024-03-07,1104.77,7,3,2024
10,5218,Customer_218,user_218@provider.com,Chicago,2024-01-11,1199.52,11,1,2024
11,5180,Customer_180,user_180@provider.com,Chicago,2024-07-27,325.21,27,7,2024
12,5307,Customer_307,user_307@provider.com,Chicago,2024-03-14,605.44,14,3,2024
13,5234,Customer_234,user_234@provider.com,New York,2024-09-02,527.65,2,9,2024
15,5381,Customer_381,user_381@provider.com,New York,2024-05-01,869.86,1,5,2024
16,5371,Customer_371,user_371@provider.com,New York,2024-10-17,706.69,17,10,2024
17,5030,Customer_30,user_30@provider.com,Los Angeles,2024-09-03,294.4,3,9,2024
18,5494,Customer_494,user_494@provider.com,Chicago,2024-11-24,352.21,24,11,2024
19,5137,Customer_137,user_137@provider.com,Chicago,2024-07-20,798.19,20,7,2024
20,5155,Customer_155,user_155@provider.com,Los Angeles,2024-07-04,1144.06,4,7,2024
21,5084,Customer_84,user_84@provider.com,New York,2024-06-21,949.4,21,6,2024
22,5117,Customer_117,user_117@provider.com,New York,2024-03-07,408.33,7,3,2024
23,5172,Customer_172,user_172@provider.com,Chicago,2024-11-15,486.67,15,11,2024
24,5323,Customer_323,user_323@provider.com,Chicago,2024-04-11,1018.9,11,4,2024
25,5331,Customer_331,user_331@provider.com,Los Angeles,2024-01-05,638.38,5,1,2024
26,5079,Customer_79,user_79@provider.com,Los Angeles,2024-06-18,572.11,18,6,2024
27,5452,Customer_452,user_452@provider.com,Chicago,2024-01-15,302.31,15,1,2024
28,5083,Customer_83,user_83@provider.com,New York,2024-08-04,34.25,4,8,2024
29,5253,Customer_253,user_253@provider.com,New York,2024-11-01,214.83,1,11,2024
30,5249,Customer_249,user_249@provider.com,New York,2024-10-22,163.33,22,10,2024
31,5340,Customer_340,user_340@provider.com,Chicago,2024-01-16,1170.47,16,1,2024
32,5333,Customer_333,user_333@provider.com,New York,2024-12-03,102.14,3,12,2024
33,5009,Customer_9,user_9@provider.com,Chicago,2024-10-07,179.0,7,10,2024
34,5278,Customer_278,user_278@provider.com,New York,2024-12-14,101.47,14,12,2024
35,5068,Customer_68,user_68@provider.com,Los Angeles,2024-10-24,300.07,24,10,2024
36,5417,Customer_417,user_417@provider.com,New York,2024-07-23,242.83,23,7,2024
37,5203,Customer_203,user_203@provider.com,New York,2024-09-05,770.67,5,9,2024
38,5393,Customer_393,user_393@provider.com,New York,2024-01-05,386.73,5,1,2024
39,5305,Customer_305,user_305@provider.com,Chicago,2024-12-18,385.57,18,12,2024
40,5299,Customer_299,user_299@provider.com,Chicago,2024-11-14,744.22,14,11,2024
41,5347,Customer_347,user_347@provider.com,Los Angeles,2024-12-11,618.31,11,12,2024
42,5055,Customer_55,user_55@provider.com,New York,2024-08-11,71.58,11,8,2024
44,5345,Customer_345,user_345@provider.com,New York,2024-03-09,909.63,9,3,2024
45,5158,Customer_158,user_158@provider.com,New York,2024-02-02,940.85,2,2,2024
46,5222,Customer_222,user_222@provider.com,New York,2024-03-17,990.66,17,3,2024
47,5255,Customer_255,user_255@provider.com,Los Angeles,2024-03-03,197.72,3,3,2024
48,5153,Customer_153,user_153@provider.com,New York,2024-04-09,964.3,9,4,2024
49,5176,Customer_176,user_176@provider.com,Chicago,2024-07-11,886.77,11,7,2024
50,5210,Customer_210,user_210@provider.com,Chicago,2024-10-19,46.15,19,10,2024
51,5289,Customer_289,user_289@provider.com,New York,2024-01-09,169.96,9,1,2024
52,5076,Customer_76,user_76@provider.com,New York,2024-05-28,1186.17,28,5,2024
53,5447,Customer_447,user_447@provider.com,Los Angeles,2024-01-12,1120.63,12,1,2024
54,5349,Customer_349,user_349@provider.com,New York,2024-08-17,68.68,17,8,2024
55,5148,Customer_148,user_148@provider.com,New York,2024-07-15,1176.33,15,7,2024
56,5446,Customer_446,user_446@provider.com,Los Angeles,2024-08-15,653.21,15,8,2024
57,5073,Customer_73,user_73@provider.com,New York,2024-12-07,95.2,7,12,2024
58,5002,Customer_2,user_2@provider.com,Los Angeles,2024-11-21,562.09,21,11,2024
59,5077,Customer_77,user_77@provider.com,Chicago,2024-10-26,671.67,26,10,2024
60,5400,Customer_400,user_400@provider.com,New York,2024-02-10,886.97,10,2,2024
61,5404,Customer_404,user_404@provider.com,Los Angeles,2024-10-02,400.18,2,10,2024
62,5487,Customer_487,user_487@provider.com,Los Angeles,2024-12-17,1155.13,17,12,2024
63,5297,Customer_297,user_297@provider.com,Chicago,2024-11-03,358.9,3,11,2024
64,5063,Customer_63,user_63@provider.com,Los Angeles,2024-10-05,638.38,5,10,2024
65,5483,Customer_483,user_483@provider.com,Los Angeles,2024-08-07,1196.65,7,8,2024
66,5281,Customer_281,user_281@provider.com,New York,2024-05-27,588.84,27,5,2024
67,5070,Customer_70,user_70@provider.com,Los Angeles,2024-05-04,802.28,4,5,2024
68,5173,Customer_173,user_173@provider.com,Chicago,2024-03-19,784.73,19,3,2024
69,5033,Customer_33,user_33@provider.com,New York,2024-04-03,48.4,3,4,2024
70,5072,Customer_72,user_72@provider.com,Chicago,2024-11-13,1169.97,13,11,2024
71,5078,Customer_78,user_78@provider.com,Los Angeles,2024-10-26,477.69,26,10,2024
72,5000,Customer_0,user_0@provider.com,New York,2024-12-06,1137.35,6,12,2024
73,5011,Customer_11,user_11@provider.com,New York,2024-07-08,638.38,8,7,2024
74,5338,Customer_338,user_338@provider.com,Chicago,2024-11-17,821.27,17,11,2024
75,5022,Customer_22,user_22@provider.com,Los Angeles,2024-08-06,533.4,6,8,2024
76,5478,Customer_478,user_478@provider.com,Los Angeles,2024-12-22,1097.18,22,12,2024
77,5490,Customer_490,user_490@provider.com,Los Angeles,2024-03-06,25.98,6,3,2024
78,5104,Customer_104,user_104@provider.com,Chicago,2024-11-23,66.91,23,11,2024
79,5082,Customer_82,user_82@provider.com,Los Angeles,2024-01-28,315.58,28,1,2024
80,5185,Customer_185,user_185@provider.com,Chicago,2024-11-28,1101.03,28,11,2024
81,5140,Customer_140,user_140@provider.com,Chicago,2024-05-28,519.95,28,5,2024
82,5018,Customer_18,user_18@provider.com,New York,2024-11-17,919.29,17,11,2024
83,5356,Customer_356,user_356@provider.com,Los Angeles,2024-07-14,403.64,14,7,2024
84,5132,Customer_132,user_132@provider.com,Los Angeles,2024-07-16,728.91,16,7,2024
85,5124,Customer_124,user_124@provider.com,Chicago,2024-03-09,1168.86,9,3,2024
86,5101,Customer_101,user_101@provider.com,Chicago,2024-02-08,934.79,8,2,2024
87,5039,Customer_39,user_39@provider.com,Los Angeles,2024-07-16,354.95,16,7,2024
88,5470,Customer_470,user_470@provider.com,Los Angeles,2024-06-03,395.58,3,6,2024
89,5046,Customer_46,user_46@provider.com,New York,2024-11-22,108.88,22,11,2024
90,5314,Customer_314,user_314@provider.com,Los Angeles,2024-09-21,638.38,21,9,2024
91,5448,Customer_448,user_448@provider.com,Chicago,2024-02-21,839.96,21,2,2024
92,5365,Customer_365,user_365@provider.com,Los Angeles,2024-09-18,854.86,18,9,2024
93,5177,Customer_177,user_177@provider.com,Chicago,2024-11-04,606.37,4,11,2024
94,5286,Customer_286,user_286@provider.com,New York,2024-11-24,885.03,24,11,2024
95,5346,Customer_346,user_346@provider.com,New York,2024-11-19,250.88,19,11,2024
96,5131,Customer_131,user_131@provider.com,Los Angeles,2024-08-04,108.53,4,8,2024
97,5433,Customer_433,user_433@provider.com,Chicago,2024-03-09,464.94,9,3,2024
98,5456,Customer_456,user_456@provider.com,Los Angeles,2024-02-26,77.2,26,2,2024
99,5069,Customer_69,user_69@provider.com,New York,2024-02-25,508.63,25,2,2024
100,5357,Customer_357,user_357@provider.com,New York,2024-02-11,741.49,11,2,2024
101,5423,Customer_423,user_423@provider.com,New York,2024-02-08,357.47,8,2,2024
102,5334,Customer_334,user_334@provider.com,Los Angeles,2024-08-25,612.54,25,8,2024
103,5227,Customer_227,user_227@provider.com,Chicago,2024-03-03,820.93,3,3,2024
104,5434,Customer_434,user_434@provider.com,Los Angeles,2024-03-20,1176.49,20,3,2024
105,5436,Customer_436,user_436@provider.com,New York,2024-11-16,1146.21,16,11,2024
106,5208,Customer_208,user_208@provider.com,New York,2024-05-27,179.57,27,5,2024
107,5332,Customer_332,user_332@provider.com,New York,2024-07-17,670.57,17,7,2024
108,5220,Customer_220,user_220@provider.com,New York,2024-07-22,637.95,22,7,2024
109,5098,Customer_98,user_98@provider.com,Los Angeles,2024-06-09,763.61,9,6,2024
110,5324,Customer_324,user_324@provider.com,New York,2024-10-01,525.65,1,10,2024
111,5184,Customer_184,user_184@provider.com,Los Angeles,2024-09-27,353.41,27,9,2024
112,5497,Customer_497,user_497@provider.com,New York,2024-04-18,600.29,18,4,2024
113,5355,Customer_355,user_355@provider.com,New York,2024-07-11,625.87,11,7,2024
114,5320,Customer_320,user_320@provider.com,New York,2024-04-05,790.3,5,4,2024
115,5195,Customer_195,user_195@provider.com,Chicago,2024-05-18,393.71,18,5,2024
116,5335,Customer_335,user_335@provider.com,Los Angeles,2024-09-19,638.38,19,9,2024
117,5492,Customer_492,user_492@provider.com,Chicago,2024-03-24,142.15,24,3,2024
118,5450,Customer_450,user_450@provider.com,New York,2024-07-15,744.58,15,7,2024
119,5374,Customer_374,user_374@provider.com,Los Angeles,2024-06-28,830.33,28,6,2024
120,5086,Customer_86,user_86@provider.com,Los Angeles,2024-03-24,883.54,24,3,2024
121,5431,Customer_431,user_431@provider.com,Chicago,2024-06-24,159.42,24,6,2024
122,5075,Customer_75,user_75@provider.com,New York,2024-04-04,616.18,4,4,2024
123,5457,Customer_457,user_457@provider.com,New York,2024-12-03,638.38,3,12,2024
124,5015,Customer_15,user_15@provider.com,New York,2024-09-15,1017.38,15,9,2024
125,5421,Customer_421,user_421@provider.com,New York,2024-08-27,1167.9,27,8,2024
126,5182,Customer_182,user_182@provider.com,Los Angeles,2024-06-09,543.83,9,6,2024
127,5473,Customer_473,user_473@provider.com,Los Angeles,2024-11-13,121.01,13,11,2024
128,5019,Customer_19,user_19@provider.com,Chicago,2024-10-11,338.26,11,10,2024
129,5397,Customer_397,user_397@provider.com,Chicago,2024-10-15,933.34,15,10,2024
130,5056,Customer_56,user_56@provider.com,New York,2024-07-09,512.49,9,7,2024
131,5239,Customer_239,user_239@provider.com,New York,2024-12-28,210.12,28,12,2024
132,5342,Customer_342,user_342@provider.com,New York,2024-08-23,956.95,23,8,2024
133,5440,Customer_440,user_440@provider.com,Los Angeles,2024-06-28,861.26,28,6,2024
135,5025,Customer_25,user_25@provider.com,Chicago,2035-01-01,549.59,1,1,2024
136,5261,Customer_261,user_261@provider.com,New York,2024-10-12,992.9,12,10,2024
137,5042,Customer_42,user_42@provider.com,Los Angeles,2024-12-18,179.47,18,12,2024
138,5331,Customer_331,user_331@provider.com,Los Angeles,2024-01-05,245.67,5,1,2024
139,5271,Customer_271,user_271@provider.com,New York,2024-12-25,758.19,25,12,2024
140,5209,Customer_209,user_209@provider.com,Los Angeles,2024-05-24,951.59,24,5,2024
141,5287,Customer_287,user_287@provider.com,New York,2024-07-28,1035.02,28,7,2024
142,5126,Customer_126,user_126@provider.com,Los Angeles,2024-12-05,604.57,5,12,2024
143,5414,Customer_414,user_414@provider.com,New York,2024-01-14,777.32,14,1,2024
144,5031,Customer_31,user_31@provider.com,Los Angeles,2024-03-08,1193.51,8,3,2024
145,5113,Customer_113,user_113@provider.com,New York,2024-05-10,241.46,10,5,2024
146,5360,Customer_360,user_360@provider.com,Chicago,2024-08-03,891.09,3,8,2024
147,5290,Customer_290,user_290@provider.com,New York,2024-02-15,454.09,15,2,2024
148,5154,Customer_154,user_154@provider.com,Chicago,2024-10-22,820.1,22,10,2024
149,5057,Customer_57,user_57@provider.com,New York,2024-05-27,955.77,27,5,2024
150,5211,Customer_211,user_211@provider.com,New York,2024-08-28,671.52,28,8,2024
151,5024,Customer_24,user_24@provider.com,Chicago,2024-04-27,278.12,27,4,2024
152,5017,Customer_17,user_17@provider.com,Chicago,2024-08-05,352.8,5,8,2024
153,5245,Customer_245,user_245@provider.com,New York,2024-09-14,1017.43,14,9,2024
154,5066,Customer_66,user_66@provider.com,New York,2024-08-23,523.65,23,8,2024
155,5229,Customer_229,user_229@provider.com,New York,2024-12-13,1055.38,13,12,2024
156,5225,Customer_225,user_225@provider.com,Los Angeles,2024-08-01,776.17,1,8,2024
157,5094,Customer_94,user_94@provider.com,Chicago,2024-11-13,222.48,13,11,2024
158,5462,Customer_462,user_462@provider.com,Los Angeles,2024-06-10,667.17,10,6,2024
159,5284,Customer_284,user_284@provider.com,Chicago,2024-02-15,385.41,15,2,2024
160,5023,Customer_23,user_23@provider.com,New York,2024-08-15,1136.5,15,8,2024
161,5244,Customer_244,user_244@provider.com,New York,2024-07-05,1075.49,5,7,2024
162,5422,Customer_422,user_422@provider.com,New York,2024-06-03,367.67,3,6,2024
163,5375,Customer_375,user_375@provider.com,Chicago,2024-06-04,46.58,4,6,2024
164,5005,Customer_5,user_5@provider.com,New York,2024-04-05,640.04,5,4,2024
165,5116,Customer_116,user_116@provider.com,New York,2024-12-18,1040.97,18,12,2024
166,5045,Customer_45,user_45@provider.com,Chicago,2024-01-13,21.22,13,1,2024
167,5407,Customer_407,user_407@provider.com,Los Angeles,2024-05-11,386.8,11,5,2024
168,5016,Customer_16,user_16@provider.com,Chicago,2024-09-08,1023.63,8,9,2024
169,5484,Customer_484,user_484@provider.com,Los Angeles,2024-03-05,485.44,5,3,2024
170,5370,Customer_370,user_370@provider.com,Los Angeles,2024-05-12,1176.18,12,5,2024
171,5003,Customer_3,user_3@provider.com,New York,2024-06-03,348.9,3,6,2024
172,5274,Customer_274,user_274@provider.com,New York,2024-11-02,587.29,2,11,2024
173,5426,Customer_426,user_426@provider.com,Los Angeles,2024-12-11,390.69,11,12,2024
174,5060,Customer_60,user_60@provider.com,New York,2024-04-21,1087.6,21,4,2024
175,5110,Customer_110,user_110@provider.com,New York,2024-09-12,658.49,12,9,2024
176,5329,Customer_329,user_329@provider.com,Los Angeles,2024-04-19,489.69,19,4,2024
177,5272,Customer_272,user_272@provider.com,New York,2024-11-27,358.26,27,11,2024
178,5029,Customer_29,user_29@provider.com,Los Angeles,2024-05-11,609.88,11,5,2024
179,5280,Customer_280,user_280@provider.com,New York,2024-06-17,535.93,17,6,2024
180,5411,Customer_411,user_411@provider.com,New York,2024-04-17,434.83,17,4,2024
181,5026,Customer_26,user_26@provider.com,Los Angeles,2024-08-21,429.26,21,8,2024
183,5181,Customer_181,user_181@provider.com,New York,2024-01-15,323.44,15,1,2024
184,5472,Customer_472,user_472@provider.com,Los Angeles,2024-05-21,1090.91,21,5,2024
185,5108,Customer_108,user_108@provider.com,Los Angeles,2024-05-22,625.73,22,5,2024
186,5037,Customer_37,user_37@provider.com,Los Angeles,2024-07-25,952.79,25,7,2024
187,5157,Customer_157,user_157@provider.com,New York,2024-05-27,734.97,27,5,2024
188,5488,Customer_488,user_488@provider.com,Los Angeles,2024-11-11,638.38,11,11,2024
189,5118,Customer_118,user_118@provider.com,Los Angeles,2024-12-16,162.5,16,12,2024
190,5114,Customer_114,user_114@provider.com,New York,2024-04-04,438.01,4,4,2024
191,5425,Customer_425,user_425@provider.com,Los Angeles,2024-02-13,850.41,13,2,2024
192,5175,Customer_175,user_175@provider.com,Los Angeles,2024-02-16,149.44,16,2,2024
193,5204,Customer_204,user_204@provider.com,New York,2024-04-20,955.53,20,4,2024
194,5369,Customer_369,user_369@provider.com,New York,2024-01-10,813.46,10,1,2024
195,5144,Customer_144,user_144@provider.com,Los Angeles,2024-11-07,1045.99,7,11,2024
196,5194,Customer_194,user_194@provider.com,Chicago,2024-04-23,1016.94,23,4,2024
197,5383,Customer_383,user_383@provider.com,Chicago,2024-06-12,217.06,12,6,2024
198,5395,Customer_395,user_395@provider.com,New York,2024-02-09,833.24,9,2,2024
199,5376,Customer_376,user_376@provider.com,New York,2024-10-08,577.39,8,10,2024
200,5486,Customer_486,user_486@provider.com,New York,2024-09-25,1124.88,25,9,2024
201,5238,Customer_238,user_238@provider.com,Chicago,2024-02-25,196.32,25,2,2024
202,5464,Customer_464,user_464@provider.com,Los Angeles,2024-11-20,497.19,20,11,2024
203,5141,Customer_141,user_141@provider.com,New York,2024-07-10,832.37,10,7,2024
204,5406,Customer_406,user_406@provider.com,New York,2024-03-25,637.69,25,3,2024
205,5067,Customer_67,user_67@provider.com,Los Angeles,2024-06-06,743.55,6,6,2024
206,5231,Customer_231,user_231@provider.com,Los Angeles,2024-11-28,773.16,28,11,2024
207,5168,Customer_168,user_168@provider.com,New York,2024-04-22,455.84,22,4,2024
208,5188,Customer_188,user_188@provider.com,New York,2024-10-25,1025.6,25,10,2024
209,5237,Customer_237,user_237@provider.com,Chicago,2024-12-03,162.13,3,12,2024
210,5390,Customer_390,user_390@provider.com,Los Angeles,2024-06-06,1138.62,6,6,2024
211,5311,Customer_311,user_311@provider.com,Los Angeles,2024-04-15,42.46,15,4,2024
212,5193,Customer_193,user_193@provider.com,New York,2024-01-21,823.09,21,1,2024
213,5081,Customer_81,user_81@provider.com,New York,2024-09-21,1177.53,21,9,2024
214,5109,Customer_109,user_109@provider.com,New York,2024-06-16,1187.11,16,6,2024
215,5262,Customer_262,user_262@provider.com,Los Angeles,2024-05-23,48.62,23,5,2024
216,5145,Customer_145,user_145@provider.com,Chicago,2024-11-03,432.78,3,11,2024
217,5092,Customer_92,user_92@provider.com,Los Angeles,2024-05-15,662.03,15,5,2024
218,5152,Customer_152,user_152@provider.com,Chicago,2024-08-03,445.52,3,8,2024
219,5352,Customer_352,user_352@provider.com,Los Angeles,2024-11-25,576.39,25,11,2024
220,5410,Customer_410,user_410@provider.com,Los Angeles,2024-07-18,638.38,18,7,2024
221,5277,Customer_277,user_277@provider.com,Chicago,2024-02-10,367.46,10,2,2024
223,5103,Customer_103,user_103@provider.com,Los Angeles,2024-04-23,362.73,23,4,2024
224,5165,Customer_165,user_165@provider.com,New York,2024-10-02,732.04,2,10,2024
225,5163,Customer_163,user_163@provider.com,New York,2024-05-17,638.38,17,5,2024
226,5199,Customer_199,user_199@provider.com,New York,2024-03-16,1071.23,16,3,2024
227,5250,Customer_250,user_250@provider.com,Chicago,2024-08-19,373.85,19,8,2024
228,5074,Customer_74,user_74@provider.com,Chicago,2024-10-23,638.38,23,10,2024
229,5468,Customer_468,user_468@provider.com,Los Angeles,2024-05-09,251.36,9,5,2024
231,5498,Customer_498,user_498@provider.com,Chicago,2024-05-26,1127.19,26,5,2024
232,5119,Customer_119,user_119@provider.com,Chicago,2024-12-19,451.1,19,12,2024
233,5291,Customer_291,user_291@provider.com,New York,2024-11-24,680.56,24,11,2024
234,5432,Customer_432,user_432@provider.com,Los Angeles,2024-03-08,816.8,8,3,2024
235,5455,Customer_455,user_455@provider.com,New York,2024-03-02,770.96,2,3,2024
236,5367,Customer_367,user_367@provider.com,New York,2024-06-28,981.66,28,6,2024
237,5416,Customer_416,user_416@provider.com,New York,2024-10-14,737.94,14,10,2024
238,5247,Customer_247,user_247@provider.com,Chicago,2024-03-06,767.54,6,3,2024
239,5265,Customer_265,user_265@provider.com,Los Angeles,2024-10-28,698.47,28,10,2024
240,5268,Customer_268,user_268@provider.com,Los Angeles,2024-04-20,508.66,20,4,2024
241,5312,Customer_312,user_312@provider.com,New York,2024-04-28,1135.1,28,4,2024
242,5398,Customer_398,user_398@provider.com,Los Angeles,2024-05-07,1105.82,7,5,2024
244,5036,Customer_36,user_36@provider.com,New York,2024-04-27,785.2,27,4,2024
245,5196,Customer_196,user_196@provider.com,New York,2024-09-14,426.7,14,9,2024
246,5139,Customer_139,user_139@provider.com,Los Angeles,2024-07-15,729.11,15,7,2024
247,5388,Customer_388,user_388@provider.com,New York,2024-12-17,821.66,17,12,2024
248,5438,Customer_438,user_438@provider.com,New York,2024-08-22,359.19,22,8,2024
249,5301,Customer_301,user_301@provider.com,New York,2024-05-16,1040.39,16,5,2024
